link,Owner,Extension,Level,DateCreated,DateAccessed,DateWritten,TotalByteSize,DirectByteSize,DirectFileCount,CharacterLength,pathString,parentName,ID,parentID,TotalFileCount,bg_clr,ico,ext,fileType,bgclr,i.ico,i.fileType,Name,Type,DateWrittenIndexDate,DateCreatedIndexDate,DateAccessedIndexDate,filter
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/README.md"">NA README</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,11970,,,47,C:\ML-For-Beginners-main\6-NLP\2-Tasks\README,C:\ML-For-Beginners-main\6-NLP\2-Tasks,698,109,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/images/embedding.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> embedding</a>",ECNCR/Kedidaz,png,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,89551,,,58,C:\ML-For-Beginners-main\6-NLP\2-Tasks\images\embedding,C:\ML-For-Beginners-main\6-NLP\2-Tasks\images,699,110,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,embedding,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/images/n-grams.gif""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> n-grams</a>",ECNCR/Kedidaz,gif,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,57284,,,56,C:\ML-For-Beginners-main\6-NLP\2-Tasks\images\n-grams,C:\ML-For-Beginners-main\6-NLP\2-Tasks\images,700,110,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",gif,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,n-grams,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/images/parse.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> parse</a>",ECNCR/Kedidaz,png,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,40506,,,54,C:\ML-For-Beginners-main\6-NLP\2-Tasks\images\parse,C:\ML-For-Beginners-main\6-NLP\2-Tasks\images,701,110,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,parse,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/images/tokenization.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> tokenization</a>",ECNCR/Kedidaz,png,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,74599,,,61,C:\ML-For-Beginners-main\6-NLP\2-Tasks\images\tokenization,C:\ML-For-Beginners-main\6-NLP\2-Tasks\images,702,110,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,tokenization,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/solution/bot.py""><i class=""fa fa-scroll"" role=""presentation"" aria-label=""scroll icon""></i> bot</a>",ECNCR/Kedidaz,py,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1798,,,53,C:\ML-For-Beginners-main\6-NLP\2-Tasks\solution\bot,C:\ML-For-Beginners-main\6-NLP\2-Tasks\solution,703,111,1,#c8e6c9,"<i class=""fa fa-scroll"" role=""presentation"" aria-label=""scroll icon""></i>",py,code,#c8e6c9,"<i class=""fa fa-scroll"" role=""presentation"" aria-label=""scroll icon""></i>",code,bot,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/translations/assignment.es.md"">NA assignment.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,949,,,67,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations\assignment.es,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations,704,112,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/translations/assignment.it.md"">NA assignment.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,866,,,67,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations\assignment.it,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations,705,112,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/translations/assignment.ko.md"">NA assignment.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1137,,,67,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations\assignment.ko,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations,706,112,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/translations/assignment.pt-br.md"">NA assignment.pt-br</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,973,,,70,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations\assignment.pt-br,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations,707,112,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.pt-br,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/translations/README.es.md"">NA README.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,13298,,,63,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations\README.es,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations,708,112,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/translations/README.it.md"">NA README.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,13120,,,63,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations\README.it,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations,709,112,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/translations/README.ko.md"">NA README.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,12743,,,63,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations\README.ko,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations,710,112,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/2-Tasks/translations/README.pt-br.md"">NA README.pt-br</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,14266,,,66,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations\README.pt-br,C:\ML-For-Beginners-main\6-NLP\2-Tasks\translations,711,112,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.pt-br,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/assignment.md"">NA assignment</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,989,,,67,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\assignment,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment,712,113,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/README.md"">NA README</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,14528,,,63,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\README,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment,713,113,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/images/monnaie.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> monnaie</a>",ECNCR/Kedidaz,png,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,211074,,,72,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\images\monnaie,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\images,714,114,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,monnaie,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/solution/notebook.ipynb"">NA notebook</a>",ECNCR/Kedidaz,ipynb,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,2163,,,77,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\solution\notebook,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\solution,715,115,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",ipynb,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,notebook,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/solution/Julia/README.md"">NA README</a>",ECNCR/Kedidaz,md,5,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,31,,,78,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\solution\Julia\README,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\solution\Julia,716,116,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/solution/R/README.md"">NA README</a>",ECNCR/Kedidaz,md,5,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,31,,,74,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\solution\R\README,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\solution\R,717,117,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/translations/assignment.es.md"">NA assignment.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1063,,,83,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations\assignment.es,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations,718,118,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/translations/assignment.it.md"">NA assignment.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,975,,,83,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations\assignment.it,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations,719,118,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/translations/assignment.ko.md"">NA assignment.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1046,,,83,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations\assignment.ko,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations,720,118,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/translations/README.es.md"">NA README.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,15733,,,79,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations\README.es,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations,721,118,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/translations/README.it.md"">NA README.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,16825,,,79,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations\README.it,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations,722,118,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/3-Translation-Sentiment/translations/README.ko.md"">NA README.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,15720,,,79,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations\README.ko,C:\ML-For-Beginners-main\6-NLP\3-Translation-Sentiment\translations,723,118,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/assignment.md"">NA assignment</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,288,,,61,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\assignment,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1,724,119,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/notebook.ipynb"">NA notebook</a>",ECNCR/Kedidaz,ipynb,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,0,,,62,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\notebook,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1,725,119,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",ipynb,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,notebook,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/README.md"">NA README</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,33263,,,57,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\README,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1,726,119,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/solution/notebook.ipynb"">NA notebook</a>",ECNCR/Kedidaz,ipynb,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,5955,,,71,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\solution\notebook,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\solution,727,120,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",ipynb,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,notebook,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/solution/Julia/README.md"">NA README</a>",ECNCR/Kedidaz,md,5,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,31,,,72,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\solution\Julia\README,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\solution\Julia,728,121,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/solution/R/README.md"">NA README</a>",ECNCR/Kedidaz,md,5,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,31,,,68,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\solution\R\README,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\solution\R,729,122,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/translations/assignment.es.md"">NA assignment.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,295,,,77,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations\assignment.es,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations,730,123,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/translations/assignment.it.md"">NA assignment.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,287,,,77,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations\assignment.it,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations,731,123,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/translations/assignment.ko.md"">NA assignment.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,349,,,77,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations\assignment.ko,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations,732,123,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/translations/README.es.md"">NA README.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,35709,,,73,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations\README.es,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations,733,123,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/translations/README.it.md"">NA README.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,36669,,,73,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations\README.it,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations,734,123,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/4-Hotel-Reviews-1/translations/README.ko.md"">NA README.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,34772,,,73,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations\README.ko,C:\ML-For-Beginners-main\6-NLP\4-Hotel-Reviews-1\translations,735,123,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/6-NLP/5-Hotel-Reviews-2/assignment.md"">NA assignment</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,886,,,61,C:\ML-For-Beginners-main\6-NLP\5-Hotel-Reviews-2\assignment,C:\ML-For-Beginners-main\6-NLP\5-Hotel-Reviews-2,736,124,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
